applicant_id,employment_type,rent_payment_ratio,utility_payment_ratio,telecom_payment_ratio,telecom_tenure_months,monthly_bank_inflow,monthly_bank_outflow,avg_bank_balance,bounce_count_6m,gig_monthly_earnings,gig_earnings_stability,gig_months_active,gig_rating,income_to_expense_ratio,payment_consistency,data_conflict_count,falsified_record_flag,falsification_type,fraud_risk_score,missing_data_ratio,credit_risk_score,decision
A01135,gig,1.0,1.0,0.936,53,15779,10666,446,,,0.986,27,4.69,1.479,0.979,0,0,none,0.058,0.167,0.12,APPROVE
A01136,gig,1.0,1.0,0.962,46,31716,25934,13452,0,22355,0.935,38,4.77,1.223,0.987,0,0,none,0.024,0.0,0.001,APPROVE
A01137,self_employed,0.975,1.0,0.88,30,29146,15737,8426,0,4159,0.762,34,4.73,1.852,0.952,2,0,none,0.096,0.0,0.079,APPROVE
A01138,gig,0.871,0.799,0.862,45,,13756,5269,1,17970,0.772,39,4.38,,0.844,0,1,inflated_income,0.598,0.083,0.192,REFER
A01139,gig,0.643,0.645,0.816,57,31275,19720,8243,3,25388,0.642,22,4.25,1.586,0.701,0,0,none,0.147,0.0,0.263,DECLINE
A01140,self_employed,0.868,0.816,0.96,37,64630,36489,22612,1,,0.601,20,4.47,1.771,0.882,0,0,none,0.104,0.083,0.113,APPROVE
A01141,gig,0.733,,0.811,20,57346,30226,15392,3,48318,0.526,29,4.25,1.897,0.772,0,0,none,0.091,0.083,0.19,REFER
A01142,gig,0.771,0.741,0.793,17,,13299,5746,0,18236,0.655,26,3.97,,0.768,0,0,none,0.144,0.083,0.193,REFER
A01143,self_employed,0.862,,0.939,46,33276,15024,9458,3,7122,,59,4.3,2.215,0.9,0,0,none,0.048,0.167,0.128,APPROVE
A01144,gig,0.982,0.999,0.927,,32591,14983,15721,0,22418,0.852,29,4.72,2.175,0.969,0,0,none,0.02,0.083,0.01,APPROVE
A01145,self_employed,0.627,0.659,0.686,18,33981,27259,8991,5,0,0.438,0,,1.247,0.657,0,0,none,0.114,0.083,0.269,DECLINE
A01146,gig,0.752,0.811,0.8,31,35140,22020,10300,0,33015,0.758,33,4.4,1.596,0.788,0,0,none,0.028,0.0,0.142,APPROVE
A01147,salaried,0.59,0.796,0.805,42,22891,12898,4751,2,3304,0.466,23,4.01,1.775,0.73,0,0,none,0.123,0.0,0.232,DECLINE
A01148,gig,0.817,,0.933,32,39265,16052,14387,0,31840,0.855,24,4.34,2.446,0.875,0,0,none,0.031,0.083,0.08,APPROVE
A01149,self_employed,0.86,0.854,0.849,25,14171,9031,6307,1,2475,0.658,18,4.47,1.569,0.855,0,0,none,0.127,0.0,0.144,APPROVE
A01150,gig,0.603,0.623,0.655,55,22205,19227,7953,2,20271,0.323,11,3.62,1.155,0.627,0,0,none,0.21,0.0,0.284,DECLINE
A01151,gig,0.861,0.925,0.855,64,16100,8677,5285,1,13549,0.751,44,4.34,1.856,0.88,0,0,none,0.137,0.0,0.122,APPROVE
A01152,gig,0.969,0.945,0.972,89,50416,,21436,0,43375,,32,4.72,,0.962,0,0,none,0.118,0.167,0.064,APPROVE
A01153,self_employed,0.743,0.726,0.753,44,20797,14591,6881,3,1925,0.602,0,,1.425,0.741,0,0,none,0.133,0.083,0.24,DECLINE
A01154,gig,0.921,0.994,0.921,32,36477,22295,15348,1,31367,0.961,38,4.75,1.636,0.945,0,0,none,0.039,0.0,0.049,APPROVE
A01155,gig,0.679,0.694,0.817,60,,32929,9574,3,41115,0.455,32,4.14,,0.73,0,0,none,0.072,0.083,0.259,DECLINE
A01156,self_employed,0.867,0.887,0.887,43,14517,9086,5856,0,2238,0.529,21,4.27,1.598,0.88,0,0,none,0.141,0.0,0.172,REFER
A01157,self_employed,1.0,0.98,0.95,31,32615,22894,10670,0,5681,0.782,37,4.9,1.425,0.977,0,0,none,0.073,0.0,0.058,APPROVE
A01158,gig,0.699,0.815,0.755,19,47905,36093,13218,1,39511,0.554,12,,1.327,0.756,0,0,none,0.094,0.083,0.17,REFER
A01159,gig,0.985,0.893,0.866,65,21850,16514,8221,0,16196,0.847,19,4.55,1.323,0.915,0,0,none,0.027,0.0,0.06,APPROVE
A01160,self_employed,0.93,0.962,1.0,59,10026,6745,5450,1,0,0.793,0,,1.486,0.964,0,0,none,0.054,0.083,0.054,APPROVE
A01161,salaried,0.789,0.818,0.808,29,60430,21151,21440,0,0,0.834,0,,2.857,0.805,1,0,none,0.143,0.083,0.194,REFER
A01162,gig,0.661,0.669,0.74,21,64030,41775,13491,2,53359,0.557,14,3.88,1.533,0.69,0,0,none,0.073,0.0,0.24,DECLINE
A01163,gig,0.672,0.825,0.883,40,26566,14152,9833,0,16149,0.879,37,4.59,1.877,0.793,0,0,none,0.111,0.0,0.144,APPROVE
A01164,salaried,0.992,0.993,,34,48561,25319,20363,0,6339,0.741,30,4.78,1.918,0.993,0,0,none,0.096,0.083,0.068,APPROVE
A01165,gig,0.841,0.934,0.962,25,34496,17559,9211,3,27625,0.8,27,4.46,1.965,0.912,0,0,none,0.139,0.0,0.134,APPROVE
A01166,self_employed,,0.973,0.955,74,34998,23036,15547,0,7911,0.781,,4.53,1.519,0.964,3,0,none,0.173,0.167,0.134,APPROVE
A01167,salaried,1.0,0.816,0.944,42,23414,10405,5570,1,,0.575,22,4.47,2.25,0.92,0,0,none,0.129,0.083,0.152,APPROVE
A01168,self_employed,0.823,0.802,0.763,40,28055,15822,6070,2,5604,0.647,16,4.28,1.773,0.796,0,0,none,0.082,0.0,0.188,REFER
A01169,self_employed,0.835,0.82,0.902,26,31109,22154,11323,0,6605,0.711,27,4.74,1.404,0.852,0,0,none,0.0,0.0,0.122,APPROVE
A01170,gig,0.822,0.874,0.913,78,28000,13354,3859,0,,0.905,59,4.49,2.097,0.87,0,0,none,0.049,0.083,0.185,REFER
A01171,self_employed,,0.683,,32,104737,41125,24660,1,25153,0.43,33,4.14,2.547,0.683,0,0,none,0.111,0.167,0.217,DECLINE
A01172,salaried,0.714,0.728,0.814,18,14539,10053,4442,1,2185,,34,4.03,1.446,0.752,0,0,none,0.127,0.083,0.224,DECLINE
A01173,salaried,0.986,0.879,0.964,70,38992,19636,12281,1,2916,0.696,52,4.55,1.986,0.943,0,0,none,0.056,0.0,0.047,APPROVE
A01174,salaried,0.961,0.994,0.898,79,44128,24905,19960,0,1410,,0,,1.772,0.951,0,0,none,0.03,0.167,0.051,APPROVE
A01175,gig,,0.781,0.877,30,43967,23025,18017,0,42105,0.59,22,4.42,1.91,0.829,0,0,none,0.098,0.083,0.161,APPROVE
A01176,self_employed,0.528,0.548,0.634,41,39051,25686,9431,3,5893,0.323,,3.38,1.52,0.57,0,0,none,0.225,0.083,0.369,DECLINE
A01177,self_employed,0.824,0.68,0.899,45,,27958,9748,0,290,0.703,0,,,0.801,0,0,none,0.128,0.167,0.151,APPROVE
A01178,salaried,0.736,,0.804,32,44361,23086,13962,2,5866,0.62,41,3.93,1.922,0.77,0,1,manipulated_gig_earnings,0.584,0.083,0.239,DECLINE
A01179,gig,0.941,1.0,0.941,77,23645,13170,8552,0,18965,0.884,41,4.75,1.795,0.96,0,0,none,0.025,0.0,0.025,APPROVE
A01180,self_employed,0.989,0.939,0.97,61,72733,35816,27734,0,5269,0.76,40,4.66,2.031,0.966,0,0,none,0.029,0.0,0.053,APPROVE
A01181,self_employed,0.834,0.968,0.859,50,38823,21016,,0,6465,0.645,47,4.62,1.847,0.887,0,0,none,0.1,0.083,0.177,REFER
A01182,salaried,0.851,0.849,0.824,,38965,21089,6553,3,4683,0.574,22,4.39,1.848,0.842,0,0,none,0.088,0.083,0.184,REFER
A01183,gig,1.0,,0.965,49,,29693,16950,0,33721,0.911,,4.61,,0.983,0,0,none,0.028,0.25,0.083,APPROVE
A01184,gig,,0.875,0.836,62,41334,22660,,1,32888,,52,4.33,1.824,0.856,0,0,none,0.108,0.25,0.231,DECLINE
A01185,gig,,1.0,1.0,67,44794,36060,18359,0,38216,,55,4.77,1.242,1.0,0,0,none,0.078,0.167,0.066,APPROVE
A01186,gig,0.729,0.69,0.705,35,19993,12523,9943,2,17149,0.604,47,3.9,1.596,0.708,0,0,none,0.13,0.0,0.23,DECLINE
A01187,gig,0.779,0.826,0.766,21,22215,16468,7698,1,22762,0.513,22,3.98,1.349,0.79,0,0,none,0.093,0.0,0.199,REFER
A01188,self_employed,0.891,0.984,0.903,31,21175,17270,8813,0,429,0.665,0,,1.226,0.926,0,0,none,0.118,0.083,0.07,APPROVE
A01189,gig,0.788,0.888,0.928,29,48248,36337,16834,0,46618,,24,4.5,1.328,0.868,0,0,none,0.096,0.083,0.138,APPROVE
A01190,self_employed,0.899,0.969,0.943,36,62964,43219,25919,0,,0.864,35,4.89,1.457,0.937,1,0,none,0.061,0.083,0.068,APPROVE
A01191,self_employed,0.761,0.79,0.745,28,,14781,9414,3,5973,0.454,30,,,0.765,0,0,none,0.147,0.167,0.185,REFER
A01192,self_employed,0.949,0.886,0.906,73,35989,17740,11394,0,,0.623,38,4.18,2.029,0.914,0,0,none,0.094,0.083,0.043,APPROVE
A01193,self_employed,0.765,0.74,0.786,21,46427,23143,10041,0,8456,0.643,48,3.87,2.006,0.764,0,0,none,0.174,0.0,0.158,APPROVE
A01194,gig,0.753,0.871,0.887,38,54913,44913,18923,1,48155,0.644,39,4.22,1.223,0.837,0,0,none,0.132,0.0,0.117,APPROVE
A01195,gig,0.772,0.793,0.757,43,35686,25597,10421,1,30748,0.6,16,4.43,1.394,0.774,1,0,none,0.129,0.0,0.159,APPROVE
A01196,self_employed,1.0,0.818,0.898,52,31945,22328,12670,0,5162,0.824,19,4.26,1.431,0.905,0,0,none,0.141,0.0,0.087,APPROVE
A01197,salaried,0.814,0.907,0.965,,77797,53229,,0,258,,0,,1.462,0.895,0,0,none,0.131,0.333,0.232,DECLINE
A01198,self_employed,,0.876,0.96,42,59003,38064,24852,0,3117,0.99,34,5.0,1.55,0.918,0,0,none,0.031,0.083,0.07,APPROVE
A01199,self_employed,,0.872,0.959,,76470,49099,26208,0,,0.773,30,4.39,1.557,0.916,0,0,none,0.077,0.25,0.114,APPROVE
A01200,self_employed,0.819,0.78,,42,28056,16256,6660,1,,0.533,28,4.53,1.726,0.8,0,0,none,0.123,0.167,0.19,REFER
A01201,self_employed,0.861,0.915,0.846,35,37751,24629,7829,0,3910,0.58,34,4.39,1.533,0.874,0,0,none,0.065,0.0,0.131,APPROVE
A01202,gig,0.792,1.0,0.969,46,26155,18364,15477,1,23424,0.914,49,4.34,1.424,0.92,0,0,none,0.107,0.0,0.032,APPROVE
A01203,salaried,0.884,0.851,0.77,30,49147,19820,13652,1,12173,0.835,34,4.63,2.48,0.835,0,0,none,0.029,0.0,0.1,APPROVE
A01204,gig,0.882,0.938,0.918,23,25847,15780,9481,0,24213,,29,4.54,1.638,0.912,0,0,none,0.03,0.083,0.057,APPROVE
A01205,self_employed,0.731,0.776,0.811,51,17701,12684,10552,2,3455,0.534,45,3.8,1.396,0.773,0,0,none,0.08,0.0,0.218,DECLINE
A01206,gig,0.934,0.902,0.873,20,24570,18970,9560,2,17354,0.745,21,4.24,1.295,0.903,0,0,none,0.134,0.0,0.111,APPROVE
A01207,self_employed,0.995,0.857,0.916,43,37789,23918,14802,0,0,0.843,0,,1.58,0.923,0,0,none,0.079,0.083,0.085,APPROVE
A01208,self_employed,0.741,,0.809,35,36006,19180,10383,1,,0.601,21,,1.877,0.775,0,0,none,0.014,0.25,0.168,REFER
A01209,gig,0.689,0.66,0.769,16,27052,22316,2690,3,26114,0.619,26,4.12,1.212,0.706,0,0,none,0.155,0.0,0.347,DECLINE
A01210,gig,0.902,1.0,0.936,42,26505,15042,10250,0,17234,0.832,37,4.57,1.762,0.946,0,0,none,0.084,0.0,0.043,APPROVE
A01211,gig,0.842,,0.843,17,18998,10939,6362,1,13848,,21,4.25,1.737,0.843,0,0,none,0.121,0.167,0.148,APPROVE
A01212,gig,0.793,0.857,0.933,57,23464,11555,9911,0,15342,0.816,55,4.59,2.031,0.861,0,0,none,0.025,0.0,0.101,APPROVE
A01213,gig,0.938,0.967,0.959,78,25212,12631,6689,2,21956,0.806,50,4.73,1.996,0.955,0,0,none,0.051,0.0,0.096,APPROVE
A01214,self_employed,0.505,0.606,0.664,23,40100,19894,6324,4,5741,0.285,,3.72,2.016,0.592,0,0,none,0.14,0.083,0.428,DECLINE
A01215,gig,,1.0,0.981,63,19779,9933,7227,0,12904,0.99,35,4.55,1.991,0.991,0,0,none,0.0,0.083,0.066,APPROVE
A01216,gig,0.974,0.999,1.0,39,18465,11778,5005,0,14352,0.824,69,4.56,1.568,0.991,2,0,none,0.087,0.0,0.061,APPROVE
A01217,self_employed,0.961,0.902,0.887,39,33912,26467,16708,0,2931,0.599,25,4.29,1.281,0.917,0,0,none,0.074,0.0,0.086,APPROVE
A01218,gig,0.758,0.838,0.869,35,20100,12464,3911,1,15996,0.724,14,4.35,1.613,0.822,0,0,none,0.095,0.0,0.205,REFER
A01219,gig,0.643,0.683,0.71,31,31652,15712,11163,2,25684,0.686,42,3.87,2.015,0.679,0,0,none,0.068,0.0,0.24,DECLINE
A01220,gig,0.602,0.696,0.774,39,43426,34657,10043,1,36469,0.486,19,3.73,1.253,0.691,0,0,none,0.251,0.0,0.247,DECLINE
A01221,gig,0.985,1.0,0.967,59,22460,11686,2571,0,10013,0.84,28,4.84,1.922,0.984,2,0,none,0.135,0.0,0.1,APPROVE
A01222,salaried,0.745,0.888,0.805,,23955,16538,4800,3,5085,0.719,31,3.99,1.449,0.813,0,0,none,0.092,0.083,0.192,REFER
A01223,gig,0.755,0.86,0.83,43,63404,39857,17941,1,55171,0.684,28,4.03,1.591,0.815,0,0,none,0.061,0.0,0.141,APPROVE
A01224,salaried,0.628,0.581,0.761,36,16693,14653,2030,1,1744,0.421,0,,1.139,0.657,2,0,none,0.234,0.083,0.343,DECLINE
A01225,gig,0.785,0.837,0.811,18,49908,32859,14369,2,64375,0.595,22,4.29,1.519,0.811,0,1,manipulated_gig_earnings,0.57,0.0,0.269,DECLINE
A01226,gig,0.872,0.975,0.951,38,22066,12454,10124,0,,0.832,46,4.96,1.772,0.933,0,0,none,0.032,0.083,0.051,APPROVE
A01227,salaried,0.874,0.934,0.924,57,26340,14989,8556,0,0,0.752,0,,1.757,0.911,0,0,none,0.078,0.083,0.095,APPROVE
A01228,salaried,0.746,0.884,0.803,55,53427,37692,18895,1,2843,0.437,30,3.99,1.417,0.811,3,0,none,0.161,0.0,0.223,DECLINE
A01229,gig,0.801,,0.794,35,61956,45907,15335,2,41148,0.628,30,,1.35,0.798,0,0,none,0.083,0.167,0.189,REFER
A01230,self_employed,0.863,0.861,0.824,23,14280,10445,3954,2,752,0.593,0,,1.367,0.849,0,0,none,0.084,0.083,0.212,REFER
A01231,self_employed,0.706,0.738,0.829,19,16184,9454,10667,3,4515,0.516,26,3.84,1.712,0.757,0,0,none,0.156,0.0,0.191,REFER
A01232,salaried,0.946,0.935,0.93,55,43933,35449,19673,0,7147,0.886,84,4.54,1.239,0.937,0,0,none,0.051,0.0,0.092,APPROVE
A01233,self_employed,0.709,0.988,0.877,42,50140,28951,12992,3,564,0.759,0,,1.732,0.858,0,0,none,0.216,0.083,0.112,APPROVE
A01234,salaried,0.659,0.813,0.781,36,36884,28648,9917,3,127,0.49,0,,1.288,0.751,1,0,none,0.112,0.083,0.194,REFER
A01235,gig,0.756,0.851,0.916,39,21312,7640,4443,1,15066,0.758,25,3.99,2.789,0.841,1,0,none,0.106,0.0,0.14,APPROVE
A01236,salaried,0.916,0.852,0.937,27,50208,40601,20007,0,5663,0.752,43,4.48,1.237,0.902,0,0,none,0.057,0.0,0.154,APPROVE
A01237,self_employed,0.847,0.929,0.925,,65375,51362,24606,0,13361,,31,4.8,1.273,0.9,0,0,none,0.074,0.167,0.133,APPROVE
A01238,self_employed,0.898,0.862,0.898,28,18569,12241,9046,1,1222,0.63,0,,1.517,0.886,0,0,none,0.099,0.083,0.113,APPROVE
A01239,salaried,,0.804,0.831,82,15100,6926,407,2,1494,0.586,,,2.18,0.818,0,0,none,0.048,0.25,0.288,DECLINE
A01240,self_employed,,,0.899,47,27407,,3448,1,5035,0.742,27,4.69,,0.899,0,0,none,0.022,0.25,0.176,REFER
A01241,salaried,1.0,0.95,1.0,35,48983,29756,17782,0,11684,0.876,37,4.75,1.646,0.983,0,0,none,0.042,0.0,0.031,APPROVE
A01242,gig,,0.739,0.834,34,38963,27127,14361,0,33112,0.767,34,4.15,1.436,0.786,0,0,none,0.135,0.083,0.151,APPROVE
A01243,self_employed,0.889,,0.844,39,41629,30653,15427,1,2405,0.7,62,4.27,1.358,0.867,0,0,none,0.092,0.083,0.195,REFER
A01244,salaried,0.72,0.756,0.724,28,58218,37760,14080,3,5725,0.651,35,4.28,1.542,0.733,0,0,none,0.121,0.0,0.23,DECLINE
A01245,salaried,0.92,1.0,0.889,99,89951,43561,36258,1,12284,0.797,51,4.63,2.065,0.936,0,0,none,0.049,0.0,0.0,APPROVE
A01246,self_employed,0.756,,0.794,34,43412,33800,12907,1,3777,0.493,40,4.21,1.284,0.775,0,0,none,0.121,0.083,0.225,DECLINE
A01247,self_employed,0.957,0.829,0.869,41,39153,28341,16675,0,0,0.882,0,,1.381,0.885,0,0,none,0.064,0.083,0.065,APPROVE
A01248,self_employed,0.938,1.0,0.88,57,55634,45092,24574,1,5254,0.851,,4.79,1.234,0.939,0,0,none,0.043,0.083,0.102,APPROVE
A01249,gig,1.0,0.922,0.915,35,22088,12930,6654,1,,,27,4.74,1.708,0.946,0,0,none,0.062,0.167,0.071,APPROVE
A01250,gig,0.646,0.742,0.801,56,,20202,7709,0,24478,0.703,43,4.15,,0.73,0,0,none,0.089,0.083,0.188,REFER
A01251,self_employed,0.823,0.84,0.835,61,69794,45108,22067,1,17514,,21,4.24,1.547,0.833,0,0,none,0.036,0.083,0.126,APPROVE
A01252,gig,1.0,1.0,0.908,91,36505,14459,15490,0,23393,0.99,65,5.0,2.525,0.969,0,0,none,0.079,0.0,0.022,APPROVE
A01253,self_employed,0.696,0.765,0.859,34,,14184,9422,1,900,0.519,0,,,0.773,0,0,none,0.019,0.167,0.189,REFER
A01254,self_employed,0.926,0.985,0.996,45,40678,22994,18198,0,3270,,30,4.61,1.769,0.969,0,0,none,0.062,0.083,0.084,APPROVE
A01255,gig,0.913,0.933,0.854,,29329,19865,10765,0,28650,0.855,30,4.28,1.476,0.9,0,0,none,0.02,0.083,0.041,APPROVE
A01256,gig,0.857,0.788,1.0,,25825,16336,9895,1,17089,0.949,37,,1.581,0.882,0,0,none,0.08,0.167,0.09,APPROVE
A01257,self_employed,0.779,0.797,0.867,,27484,16649,7483,3,0,0.651,0,,1.651,0.814,0,0,none,0.076,0.167,0.147,APPROVE
A01258,self_employed,0.796,0.862,0.782,40,,15920,6235,0,2926,0.757,15,4.6,,0.813,0,0,none,0.075,0.083,0.16,APPROVE
A01259,gig,0.997,0.983,0.908,45,17679,12888,8829,1,12060,0.845,34,4.53,1.372,0.962,0,0,none,0.033,0.0,0.056,APPROVE
A01260,gig,0.711,0.758,0.845,31,47814,30130,13891,2,41870,0.619,15,4.1,1.587,0.771,0,0,none,0.099,0.0,0.19,REFER
A01261,self_employed,0.634,0.789,0.726,54,24581,17583,4814,0,,0.41,0,,1.398,0.716,0,0,none,0.083,0.167,0.272,DECLINE
A01262,salaried,,0.85,0.93,24,,16735,13852,0,7803,0.606,36,4.46,,0.89,0,0,none,0.0,0.167,0.169,REFER
A01263,gig,0.843,0.725,,41,35254,25591,11923,,25134,0.745,28,4.76,1.378,0.784,0,0,none,0.146,0.167,0.123,APPROVE
A01264,salaried,0.65,0.624,0.631,55,,22636,5402,4,1702,0.479,0,,,0.635,0,0,none,0.118,0.167,0.319,DECLINE
A01265,gig,0.889,0.855,0.802,33,11833,7271,2101,1,11709,0.694,14,4.34,1.627,0.849,0,0,none,0.079,0.0,0.142,APPROVE
A01266,gig,0.693,0.744,0.882,36,42710,25832,15321,1,26151,0.636,45,3.96,1.653,0.773,0,0,none,0.066,0.0,0.194,REFER
A01267,salaried,1.0,0.845,0.93,32,126340,64641,47911,0,25995,0.693,57,4.52,1.954,0.925,0,0,none,0.075,0.0,0.055,APPROVE
A01268,self_employed,0.854,0.786,0.988,62,14662,7809,6629,0,2070,0.677,33,,1.877,0.876,0,0,none,0.127,0.083,0.123,APPROVE
A01269,self_employed,1.0,0.894,1.0,35,36503,20902,11676,0,2320,0.907,18,4.84,1.746,0.965,0,0,none,0.041,0.0,0.062,APPROVE
A01270,self_employed,,0.615,0.77,40,39858,,6837,3,7840,,9,3.55,,0.693,0,0,none,0.093,0.25,0.298,DECLINE
A01271,self_employed,0.874,,0.892,38,36865,25427,19132,0,2437,0.779,69,4.68,1.45,0.883,0,0,none,0.06,0.083,0.102,APPROVE
A01272,salaried,0.745,0.927,0.858,48,31338,24184,11619,0,0,0.611,0,,1.296,0.843,0,0,none,0.074,0.083,0.15,APPROVE
A01273,salaried,0.913,0.875,0.944,48,38686,23470,12778,0,6917,0.653,21,4.85,1.648,0.911,0,0,none,0.05,0.0,0.087,APPROVE
A01274,gig,0.466,0.62,0.673,55,44144,31298,5411,3,30297,0.282,14,3.38,1.41,0.586,0,0,none,0.079,0.0,0.356,DECLINE
A01275,gig,0.837,0.747,0.815,41,34433,,8334,2,23987,0.763,40,4.48,,0.8,0,0,none,0.111,0.083,0.191,REFER
A01276,self_employed,0.966,0.889,0.933,44,57212,43296,20722,0,989,0.666,0,,1.321,0.929,0,0,none,0.119,0.083,0.076,APPROVE
A01277,gig,0.851,0.936,1.0,18,20717,17634,7368,0,17495,0.821,,4.46,1.175,0.929,0,0,none,0.016,0.083,0.068,APPROVE
A01278,gig,0.936,0.917,0.973,24,30083,18515,9852,1,26217,0.78,50,4.18,1.625,0.942,0,0,none,0.128,0.0,0.033,APPROVE
A01279,gig,0.797,0.734,0.887,32,23529,13120,1500,1,24244,0.72,24,4.51,1.793,0.806,0,0,none,0.081,0.0,0.246,DECLINE
A01280,gig,0.866,0.881,0.867,40,34394,27464,7845,1,29348,0.718,27,4.79,1.252,0.871,0,0,none,0.074,0.0,0.119,APPROVE
A01281,self_employed,0.983,,0.911,,21354,16908,4216,1,6250,0.842,25,4.75,1.263,0.947,0,0,none,0.085,0.167,0.109,APPROVE
A01282,gig,,0.734,0.752,29,50034,38531,8892,1,37539,0.572,14,3.97,1.299,0.743,3,0,none,0.215,0.083,0.233,DECLINE
A01283,gig,0.915,0.936,1.0,74,46826,33534,15025,0,33779,0.865,,4.28,1.396,0.95,0,0,none,0.044,0.083,0.047,APPROVE
A01284,gig,0.868,0.759,0.869,46,44959,23797,11486,1,31019,0.755,63,,1.889,0.832,0,0,none,0.098,0.083,0.12,APPROVE
A01285,salaried,0.826,0.818,0.902,30,16457,11861,6796,2,0,0.593,0,,1.387,0.849,0,0,none,0.0,0.083,0.124,APPROVE
A01286,gig,0.796,0.86,0.873,59,81086,49636,26240,2,58954,0.71,24,,1.634,0.843,0,0,none,0.05,0.083,0.124,APPROVE
A01287,gig,0.971,1.0,0.922,103,53377,27899,21001,1,35302,0.96,,4.7,1.913,0.964,0,0,none,0.011,0.083,0.038,APPROVE
A01288,self_employed,0.778,0.82,0.882,95,48017,29489,13813,1,10754,0.637,27,4.66,1.628,0.827,0,0,none,0.092,0.0,0.159,APPROVE
A01289,gig,0.859,0.87,0.826,77,20051,11369,8959,0,16147,0.833,49,4.44,1.764,0.851,0,0,none,0.067,0.0,0.111,APPROVE
A01290,gig,,0.799,0.797,39,19487,12171,3971,,13499,0.606,,,1.601,0.798,0,0,none,0.126,0.333,0.245,DECLINE
A01291,gig,0.932,0.839,0.801,49,22482,16854,6477,1,17806,,50,4.08,1.334,0.857,0,0,none,0.082,0.083,0.148,APPROVE
A01292,gig,0.785,,1.0,25,21934,9332,6648,0,,0.796,38,4.95,2.35,0.892,0,0,none,0.037,0.167,0.142,APPROVE
A01293,gig,0.9,0.958,0.943,50,29618,17743,16946,2,,0.87,,4.71,1.669,0.934,0,0,none,0.0,0.167,0.069,APPROVE
A01294,gig,0.91,0.939,1.0,35,14571,8983,10713,0,11179,0.756,41,4.72,1.622,0.95,0,0,none,0.131,0.0,0.049,APPROVE
A01295,gig,0.922,0.997,1.0,58,23694,10602,8930,0,,,25,4.56,2.235,0.973,0,0,none,0.052,0.167,0.062,APPROVE
A01296,salaried,0.851,0.932,1.0,30,36953,14564,11763,0,6087,0.791,,,2.537,0.928,0,0,none,0.004,0.167,0.093,APPROVE
A01297,gig,1.0,0.973,1.0,76,38482,15831,15561,0,33111,0.99,35,4.98,2.431,0.991,0,0,none,0.045,0.0,0.008,APPROVE
A01298,self_employed,0.695,0.825,0.819,40,38674,23661,12543,3,,,38,,1.635,0.78,0,0,none,0.133,0.25,0.197,REFER
A01299,gig,0.804,0.914,0.858,71,30108,24713,17355,0,27530,0.865,25,4.5,1.218,0.859,0,0,none,0.055,0.0,0.087,APPROVE
A01300,gig,0.94,0.845,0.907,117,25999,13038,,0,24534,0.818,18,4.64,1.994,0.897,0,0,none,0.073,0.083,0.124,APPROVE
A01301,gig,0.881,0.908,0.969,28,50765,40674,19437,1,44207,0.793,27,4.28,1.248,0.919,0,0,none,0.061,0.0,0.084,APPROVE
A01302,self_employed,0.992,0.93,0.905,46,36707,21104,10486,0,2503,,21,4.65,1.739,0.943,0,0,none,0.097,0.083,0.087,APPROVE
A01303,gig,0.824,0.912,0.941,47,53887,50171,22336,0,37765,,28,,1.074,0.893,0,0,none,0.049,0.167,0.129,APPROVE
A01304,self_employed,0.872,0.811,0.873,71,86282,58196,28499,1,8137,0.58,47,4.55,1.483,0.852,0,0,none,0.16,0.0,0.165,REFER
A01305,gig,0.816,0.834,0.838,49,27112,17323,5844,,22045,0.689,19,4.53,1.565,0.829,0,0,none,0.092,0.083,0.214,DECLINE
A01306,salaried,0.677,0.644,,24,15740,10695,6151,2,2976,0.473,15,4.06,1.472,0.661,0,0,none,0.152,0.083,0.28,DECLINE
A01307,gig,0.842,0.798,0.95,43,20686,12599,853,2,16864,0.7,33,4.58,1.642,0.864,0,0,none,0.154,0.0,0.23,DECLINE
A01308,gig,1.0,0.988,0.965,48,39507,27911,22002,1,33411,0.951,50,4.38,1.415,0.985,0,0,none,0.057,0.0,0.038,APPROVE
A01309,gig,0.504,0.698,0.741,30,22691,16503,3284,2,16074,0.669,,,1.375,0.648,0,0,none,0.143,0.167,0.282,DECLINE
A01310,self_employed,,1.0,1.0,52,19386,6785,6387,0,4916,0.701,30,4.62,2.857,1.0,0,0,none,0.074,0.083,0.116,APPROVE
A01311,salaried,,,0.763,34,45292,30909,13209,4,7237,0.557,29,4.28,1.465,0.763,0,0,none,0.095,0.167,0.215,DECLINE
A01312,self_employed,0.983,0.847,0.99,22,47579,21675,14950,0,2260,0.667,71,4.68,2.195,0.94,0,0,none,0.109,0.0,0.08,APPROVE
A01313,gig,0.925,0.951,0.964,27,19348,16216,2192,1,16782,0.794,40,4.83,1.193,0.947,0,0,none,0.0,0.0,0.125,APPROVE
A01314,self_employed,0.892,0.81,0.833,34,15813,11600,2754,2,0,0.605,0,,1.363,0.845,1,0,none,0.153,0.083,0.221,DECLINE
A01315,gig,0.836,0.944,0.943,33,18801,13088,2089,0,17484,0.92,21,4.57,1.436,0.907,1,0,none,0.167,0.0,0.152,APPROVE
A01316,gig,0.803,0.91,0.85,,29914,18690,10027,,17950,0.973,24,4.31,1.601,0.854,2,0,none,0.225,0.167,0.167,REFER
A01317,gig,0.918,0.841,0.843,24,35563,18908,12638,0,23710,,35,4.54,1.881,0.867,0,0,none,0.023,0.083,0.125,APPROVE
